1001 Alice 2.98
1002 Bob 3.56
1003 Charlie 3.65
1005 Emma 2.33
1006 Fiona 2.97
1007 George 2.61
1008 Hannah 3.34
1009 Isaac 2.10
1010 Jack 3.97
1011 Katherine 2.54
1012 Liam 3.39
1013 Mia 3.68
1014 Nathan 2.66
1015 Olivia 3.21
1016 Patrick 2.86
1017 Quinn 3.91
1018 Rachel 3.87
1019 Samuel 3.56
1020 Tina 2.26
1021 Umar 3.09
1022 Violet 3.05
1023 William 3.41
1024 Xavier 2.24
1025 Yasmine 2.73
1026 Zane 4.00
1027 Sophia 3.22
1028 Daniel 3.20
1029 Elena 2.39
1030 Frank 3.98
1031 Grace 2.99
1032 Henry 3.61
1033 Isabelle 3.29
1034 James 3.22
1035 Kelly 3.43
1036 Leo 2.53
1037 Monica 2.75
1038 Noah 3.65
1039 Oscar 2.84
1040 Penny 3.22
1041 Ronald 3.80
1042 Samantha 3.11
1043 Timothy 2.37
1044 Ursula 3.82
1045 Victor 2.29
1046 Wendy 2.43
1047 Xander 2.29
1048 Yvette 3.05
1049 Zachary 3.67
1050 Amber 3.08
